Cantico,Canto,Terzetto,Original,Translation
Inferno,1,1,Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura ché la diritta via era smarrita.,"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, perché avevo smarrito la retta via."
Inferno,1,4,Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura!,"Ahi, quanto è arduo e doloroso raccontare com’era selvaggia, intricata e impraticabile questa selva, il cui solo pensiero mi rinnova la paura!"
Inferno,1,7,"Tant’è amara che poco è più morte; ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ho scorte.","Essa è tanto amara, che la morte lo è poco di più. Ma, per parlare del bene che vi trovai, dirò delle altre cose che vi ho visto."
Inferno,1,10,"Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai.","Io non so ben dire come vi entrai, tanto ero pieno di sonno a quel punto in cui abbandonai la via del vero."
Inferno,1,13,"Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,","Ma, dopo che fui giunto al piè di un colle, dove terminava quella valle che mi aveva riempito il cuore di paura,"
Inferno,1,16,"guardai in alto, e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle.","guardai in alto e vidi la cima [del colle] illuminata già dai raggi del pianeta , che conduce il viandante dritto per ogni strada."
Inferno,1,19,Allor fu la paura un poco queta che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta.,"Allora si quietò un poco la paura, che nel profondo del cuore mi aveva a lungo agitato in quella notte che io trascorsi con tanta angoscia."
Inferno,1,22,"E come quei che con lena affannata uscito fuor del pelago a la riva si volge a l’acqua perigliosa e guata,","E, come il naufrago, uscito fuori del mare e giunto alla riva, con respiro affannoso si volge indietro e guarda le onde pericolose,"
Inferno,1,25,"così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva.","così il mio animo, che ancora fuggiva, si volse indietro per riguardar la selva, che non lasciò mai persona viva."
Inferno,1,28,"Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ‘l piè fermo sempre era ‘l più basso.","Dopo che ebbi riposato un po’ il mio corpo affaticato, ripresi a camminare lungo il pendìo deserto [del colle], così che il piede fermo era sempre il più basso."
Inferno,1,31,"Ed ecco, quasi al cominciar de l’erta, una lonza leggera e presta molto, che di pel macolato era coverta;","Ed ecco che, quasi agli inizi della salita, mi apparve una lonza leggera e molto veloce, che era coperta di pelo screziato."
Inferno,1,34,"e non mi si partia dinanzi al volto, anzi ‘mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto.","Essa non si allontanava da me, anzi impediva a tal punto il mio cammino, che mi volsi più volte per tornare indietro."
Inferno,1,37,"Temp’era dal principio del mattino, e ‘l sol montava ‘n sù con quelle stelle ch’eran con lui quando l’amor divino","Era il primo mattino ed il sole [primaverile] saliva in cielo con le stelle dell’Ariete, che erano con lui quando l’amore di Dio"
Inferno,1,40,mosse di prima quelle cose belle; sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle,fece muovere per la prima volta quelle cose belle. Così l’ora del giorno e la dolce stagione mi facevano ben sperare
Inferno,1,43,l’ora del tempo e la dolce stagione; ma non sì che paura non mi desse la vista che m’apparve d’un leone.,"di [aver la meglio] su quella fiera dalla pelle variegata, ma non tanto che non m’incutesse paura la vista di un leone che mi comparve davanti."
Inferno,1,46,"Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse.","Esso veniva contro di me con la testa alta e con una fame rabbiosa, così che anche l’aria sembrava temerlo."
Inferno,1,49,"Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,","E una lupa, che nella sua magrezza sembrava piena di ogni desiderio e che fece viver misere molte genti,"
